First.Author,PYear,EYear,Location,Lontitude,Latitude,Country,Genotype,Cultivar,Nitrogen,Nmass,CO2,N,HD.SR,HD.MeanSR,HD.MaxT35,HD.MaxT26,HD.MaxT3,HD.MaxT5,HD.MeanT,HD.MinT,HD.MaxT,HD.RangeT,HD.MeanVPD,HD.PRE,PM.SR,PM.MeanSR,PM.MaxT35,PM.MaxT26,PM.MaxT3,PM.MaxT5,PM.MeanT,PM.MinT,PM.MaxT,PM.RangeT,PM.MeanVPD,PM.PRE
Yang LX,2006,2003,Wuxi,120.2,31.5,China,Japonica,WXJ14,MN,25,FACE,3,1380.3112,19.17098889,5,41,1,0,28.48159722,26.3675,30.59569444,4.228194444,3.093055556,378.8,876.019,15.36875439,0,16,0,0,24.19929825,22.27192982,26.12666667,3.854736842,2.463157895,116.25
Yang LX,2006,2002,Wuxi,120.2,31.5,China,Japonica,WXJ14,HN,35,AMB,5,1359.7606,18.37514324,0,27,0,0,27.45412162,25.52554054,29.3827027,3.857162162,2.943243243,639.12,975.4677,17.11346842,0,5,0,0,23.81631579,21.56754386,26.06508772,4.49754386,2.296491228,193.63
Yang LX,2006,2003,Wuxi,120.2,31.5,China,Japonica,WXJ14,HN,35,AMB,5,1428.1732,19.29963784,5,43,1,0,28.52418919,26.40662162,30.64175676,4.235135135,3.095945946,378.8,859.055,15.07114035,0,14,0,0,23.7504386,21.79298246,25.70789474,3.914912281,2.398245614,116.25
Yang LX,2006,2002,Wuxi,120.2,31.5,China,Japonica,WXJ14,HN,35,FACE,3,1317.7856,18.30257778,0,25,0,0,27.38076389,25.47458333,29.28694444,3.812361111,2.927777778,616.48,1005.5461,17.64115965,0,7,0,0,24.18254386,21.87122807,26.49385965,4.622631579,2.352631579,182.17
Yang LX,2006,2003,Wuxi,120.2,31.5,China,Japonica,WXJ14,HN,35,FACE,3,1380.3112,19.17098889,5,41,1,0,28.48159722,26.3675,30.59569444,4.228194444,3.093055556,378.8,876.019,15.36875439,0,16,0,0,24.19929825,22.27192982,26.12666667,3.854736842,2.463157895,116.25
Liu HJ,2008,2004,Jiangdu,119.5,32.4,China,Hybrid indica,Shanyou63,LN,12.5,AMB,3,1313.2156,20.51899375,4,30,2,0,28.20289063,24.70140625,31.704375,7.00296875,2.9828125,414.82,747.9781,16.62173556,0,1,0,0,24.43166667,20.654,28.20933333,7.555333333,2.288888889,53.32
Liu HJ,2008,2004,Jiangdu,119.5,32.4,China,Hybrid indica,Shanyou63,LN,12.5,FACE,3,1327.2696,20.41953231,4,30,2,0,28.18976923,24.70338462,31.67615385,6.972769231,2.981538462,415.21,708.3361,16.47293256,0,0,0,0,24.34232558,20.60162791,28.08302326,7.481395349,2.279069767,44.94
Liu HJ,2008,2004,Jiangdu,119.5,32.4,China,Hybrid indica,Shanyou63,HN,25,AMB,3,1313.2156,20.51899375,4,30,2,0,28.20289063,24.70140625,31.704375,7.00296875,2.9828125,414.82,747.9781,16.62173556,0,1,0,0,24.43166667,20.654,28.20933333,7.555333333,2.288888889,53.32
Liu HJ,2008,2004,Jiangdu,119.5,32.4,China,Hybrid indica,Shanyou63,HN,25,FACE,3,1327.2696,20.41953231,4,30,2,0,28.18976923,24.70338462,31.67615385,6.972769231,2.981538462,415.21,708.3361,16.47293256,0,0,0,0,24.34232558,20.60162791,28.08302326,7.481395349,2.279069767,44.94
Liu HJ,2008,2005,Jiangdu,119.5,32.4,China,Hybrid indica,Shanyou63,LN,12.5,AMB,3,1243.8337,19.43490156,8,24,2,0,28.81695313,25.24546875,32.3884375,7.14296875,2.8859375,411.88,656.4521,14.58782444,0,2,0,0,24.79811111,21.78155556,27.81466667,6.033111111,2.533333333,199.71
